epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
112,14518.7,0.36721,0.29985,0.89094,0.4337,0.66085,0.53773,0.50715,0.44481,0.74353,0.95551,0.00168956,0.000563187,0.00168956,0.000563187,0.00168956,0.000563187,0.00168956,0.000563187
113,14642,0.36821,0.28223,0.88447,0.439,0.68122,0.54091,0.51023,0.44341,0.76107,0.96288,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
114,14770.3,0.3802,0.28999,0.89292,0.43026,0.66085,0.54856,0.51484,0.44653,0.77116,0.97562,0.00165244,0.000550813,0.00165244,0.000550813,0.00165244,0.000550813,0.00165244,0.000550813
115,14891.2,0.40912,0.31172,0.91131,0.44481,0.65417,0.54802,0.5193,0.44704,0.77671,0.97652,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625
116,15020.4,0.3887,0.28993,0.8888,0.43672,0.65896,0.52871,0.50073,0.44318,0.80549,0.9723,0.00161531,0.000538438,0.00161531,0.000538438,0.00161531,0.000538438,0.00161531,0.000538438
117,15142.7,0.39144,0.29943,0.87794,0.42894,0.68188,0.52263,0.49738,0.43843,0.82319,0.97368,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
118,15275.5,0.39957,0.29624,0.89788,0.43141,0.65937,0.51727,0.49167,0.44025,0.76328,0.97363,0.00157819,0.000526063,0.00157819,0.000526063,0.00157819,0.000526063,0.00157819,0.000526063
119,15396.7,0.42363,0.30293,0.91299,0.41986,0.66085,0.52126,0.49595,0.44496,0.73831,0.96711,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875
120,15527.9,0.38787,0.29743,0.88718,0.4186,0.66085,0.50752,0.47897,0.45003,0.75173,0.96415,0.00154106,0.000513688,0.00154106,0.000513688,0.00154106,0.000513688,0.00154106,0.000513688
121,15650,0.36228,0.28622,0.87246,0.44384,0.60789,0.51255,0.47616,0.44864,0.73186,0.96268,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
122,15781.4,0.40406,0.30109,0.90087,0.43162,0.63654,0.51775,0.48113,0.45415,0.71203,0.96437,0.00150394,0.000501313,0.00150394,0.000501313,0.00150394,0.000501313,0.00150394,0.000501313
